N,P,K,temperature,humidity,ph,rainfall,indice
6.242522129953468,23.300201439931435,58.354443285825546,163.25615058483035,102.52597876677162,22.332631629612504,39.77525083753242,0.88
6.219505470904903,22.928499319920306,62.80318600412262,158.82699710914048,107.24631871023757,30.52792593504558,32.382923607637004,0.88
6.19965602324943,23.788166168370687,60.310234444463745,160.44666731303673,113.87564706404538,35.177480218401435,43.25923148602362,0.878
6.133539872755473,24.24690411411844,64.68388005124486,151.45413539159355,105.78458512746927,31.295012527504728,37.76286941589627,0.88
6.040606959543951,23.709868853914898,64.2186863220681,150.03591949439948,107.04125986121002,30.68031696880876,36.50063414840956,0.88
6.263437224544472,24.265189822420876,57.678154195809825,167.30765749423495,101.9955315374585,21.379618627259266,33.81982516165479,0.88
5.996843225898252,24.036521323060274,61.04152323058817,145.9580163883129,108.71821179289488,29.359501444770814,39.26419148257715,0.88
6.2114742685993045,24.431294267601565,54.62216330377895,145.62674097282647,91.91873961306315,28.144239707191183,37.98146811110262,0.877
6.306829841218453,24.831344074904784,62.709712668883284,143.9956670712372,107.91096667527442,25.888329450702745,37.99442939422661,0.88
6.297920447544115,23.609560057807403,64.81987523734875,158.12881642430762,99.27124909721508,31.895576512869603,40.79426538148602,0.88
6.165288883105899,23.466373579380644,58.9927789349855,143.54804907716374,108.25556677975176,24.177499330394408,39.75004899447948,0.88
5.963736670668242,23.857151990892806,62.38376714100903,179.341561740707,96.7361060668778,33.88805826596053,38.59936965594912,0.88
6.2116757877023945,24.082843539371744,63.556543863683316,148.15577874765577,113.72430108874475,26.17411542310111,42.528938288716994,0.88
6.053344931968047,23.9578237075191,58.248131066984236,155.46028464417023,113.6707557415592,27.690575280716583,37.212457205184364,0.88
5.982807455539811,23.839495142513385,56.425220090974655,139.04546415937406,106.36071627665481,33.276052790965586,49.23684344491801,0.852
6.062012237239365,25.004710109651807,62.853133681405765,148.18502823904348,107.59556671035692,28.247665934719837,38.44158290244887,0.88
6.088750025576,23.021323238140806,56.597311791172714,157.83893859937473,103.33979945948572,25.615644401375334,38.03402250689261,0.88
6.269239837937344,24.126254760118478,59.70380772175661,164.71551546778738,114.4751130178898,29.978226621291412,41.89465404537636,0.88
6.336293999522072,24.79106952148316,64.14934711989419,157.1801645648986,108.11796344007901,23.610649301811826,40.80289262743834,0.88
5.9466279043310175,23.443780381412463,66.56247773732831,160.08264195233036,113.92438973811518,26.91330246525083,33.39100463489293,0.88
6.113934420439449,24.0714219080684,62.27646050719003,163.60416574508042,102.83237744997933,29.408137887211698,34.045491402261575,0.88
6.217547591706572,24.002175985129945,59.37565331600419,147.17004765390178,103.89494552090866,26.919379482651614,45.08536496907073,0.879
6.135233099653818,23.829272722875864,54.658921648364505,139.26951177624628,103.42155945326188,25.25658929529343,43.52683037351119,0.877
6.125259333690567,24.901910974522778,62.21596621917629,150.44673403705892,104.46722131372499,28.015185006485837,44.875180012199436,0.88
5.802058390987318,22.598917978892924,60.0989020913036,150.17433458325084,109.14062654858408,29.8923487921099,36.46301634847772,0.88
6.302856553986265,24.721136782206912,62.64420240945048,161.55189086984208,106.63587158059278,25.754067892868466,40.79126735600002,0.88
6.166591968386802,24.000937892728142,67.15533750266351,120.58953445751897,96.49389497904258,23.25171829450252,36.546957409724776,0.88
6.1118087745350955,22.944872046558867,58.551946886912106,139.66989985771716,119.74454455245535,35.206967790988585,36.3530023292614,0.878
6.0954625064539805,23.195557201968192,55.321543553711564,148.5974377630977,99.01288810053585,27.66059787335196,31.59917660382609,0.88
6.035703831253461,24.104038966711983,63.28173359224378,155.00966350490418,97.07706609505777,31.418742920542247,34.7991532135926,0.88
6.244928687191097,23.992552926367264,57.18264375322718,146.20562754502575,107.19218245238261,30.451861521898397,37.43604841022233,0.88
6.379766833590158,24.705257539690592,61.10171059260087,159.00146174564333,116.60276091112912,35.841938403132104,33.08800047671001,0.872
6.011020033326428,25.039443150713694,58.29601632206827,134.12950640049985,102.08283521580572,29.68090683789834,37.59041317355562,0.88
6.052415456939162,23.528051276792844,59.50682027455552,139.4458844560927,118.68979726365637,29.19004428474222,41.54703621761895,0.88
6.076638379782162,23.869830325969765,59.50256106520376,118.17949998096958,96.7319443389128,20.757525280078422,29.00086488819357,0.86
5.970696153855285,24.92746897556714,61.84447341303476,165.4867651478541,107.46589546140525,31.130235302860637,34.3964120187817,0.88
6.228592643128901,24.510099963852042,59.98173447718207,156.714484447394,108.39712655144899,25.80178951547967,33.50892627091602,0.88
5.97238075021526,24.060553879345022,63.1445345407626,140.48969003450503,105.1595120479566,30.282148144553943,40.472762858661206,0.88
6.382782018018373,24.89388658253863,58.4954799853521,170.20303451445628,101.81414097266571,32.17949124981771,38.27194650420436,0.88
6.088177593231455,22.734612198157546,61.39952421424278,131.2874011763327,110.80379541505664,34.067170628556994,34.81235604281324,0.88
6.195295611377891,23.492225934594416,59.800303444521234,159.29393644638446,104.76877042893952,34.95859216772405,36.07107008518832,0.88
6.299900449871174,24.068189389070447,64.78522303410482,144.63410811204065,104.70264697469051,27.53800448280426,34.655771540616854,0.88
6.249312230187264,24.455174303904855,64.07744143216948,168.44358784701174,113.69606880741782,26.50022124060346,39.49220927373671,0.88
6.056459896611268,24.01634872128019,59.900876928083974,169.44084370963262,107.18218890205777,27.127883487582313,42.774474287425505,0.88
5.824407688530688,22.5901281835943,64.7854352932692,150.72562137740843,106.50267780156456,22.694415586725803,37.907065156598534,0.88
6.450526411560202,24.576939733857103,62.59397290799984,144.73135307874074,102.63256288878364,19.483208443199928,39.030561683684645,0.87
6.276822466272279,22.89706647098057,59.685040876926145,136.11042441319893,99.20789283114742,28.2139265072876,29.662391380046103,0.873
6.097871488170973,23.17399945507292,64.81599605554693,141.89863257427845,107.42372412441367,30.261841676676372,45.34490335892008,0.878
6.119558708448695,24.263231058735826,56.80230582305397,164.28496275952492,100.43694691157181,25.75698334364902,37.91100882060316,0.88
5.915567348199023,24.160139020250256,65.38613195523754,153.5152058819675,95.46661461492765,27.50476282268136,40.968115611917966,0.88
5.868301685105115,23.2476637903276,65.06790261428532,153.24114521036745,107.47182949276052,35.43797923049325,39.87421111402481,0.876
6.248683201564977,25.897521869052827,61.25168404668328,140.42540683657805,107.56677838948279,29.75596411755558,35.89313843221517,0.88
5.995140447066773,25.616891095463053,63.14395214635808,141.21257542317508,110.49558181367759,27.56341939375466,36.988474214728676,0.88
6.234340930787174,23.095682412237817,63.2341952137101,172.955457692781,107.79706597318386,26.495151584866143,35.97157887828703,0.88
6.0884490039982335,23.822226125366555,60.677677135346045,160.9957372928948,94.6007453807461,31.448000201648536,36.48125389942975,0.88
6.206542167854306,23.211108462859396,66.65020873397303,164.94761952206247,110.75754315450044,21.94098089682584,41.31648428426421,0.88
6.210728263145357,22.8763101270072,61.91495915680215,154.37441386839916,108.33645164293891,28.709045467795423,39.16492566738952,0.88
6.371041708837964,24.858223736937475,51.9653076617604,146.19073734194782,104.01209383473629,20.991605709092116,38.37673223292925,0.856
6.3373136658615765,23.239402498286587,63.177403285414556,139.01011827244275,100.96852785792194,33.90957453668014,35.8297687195527,0.88
6.219331873351594,22.690147318757308,68.51811146488208,157.23182935567797,103.90500094409843,30.30218603999958,32.36072228420876,0.88
6.327379611262899,23.7732106571525,61.28575669733048,144.1001326204142,101.51609158352649,30.778682446513635,39.02362740041689,0.88
6.247762221210456,23.9938437173601,63.79619933877014,144.97381507289953,118.37839104845729,21.728278334278006,43.04374929425194,0.88
6.355186117608146,23.403488835824085,69.8024576369459,161.94588339534383,110.82683404093747,28.112088748103506,37.1310953671253,0.88
6.118588675944059,24.27337141742366,66.90415196261864,152.17577061433704,99.53133826117626,31.29770824953992,41.68460298557917,0.88
6.2481989292671685,24.521849234567487,61.05175154444767,138.85212999443306,99.79083941615532,21.458147006168566,38.9477944461838,0.88
6.137482682516011,23.692008606829205,51.655334114792254,135.03219036366997,111.725043908419,25.341495999747476,39.44236671062737,0.853
5.941397185503712,25.00709383765146,61.49590318980863,153.48048475780243,118.95467875129012,34.06576040235761,36.77373751485177,0.88
6.061016972269447,23.77211849193633,63.784643869667875,148.73731038898956,102.62853512997917,33.86872500283617,37.543160432888655,0.88
6.494938363955598,24.063519794626522,68.24861437978655,154.28783307252752,110.77776343949668,25.1015557939291,34.58496310965035,0.88
6.218955893252248,24.691987269725722,62.14089775700162,134.56327997899564,96.83844980226404,22.291454391255037,30.929511548242477,0.88
6.166422803917063,24.787530745195617,61.95304474576317,122.87502291194576,103.8554372379927,27.34880401346957,46.383995000901756,0.871
5.9314293130620666,23.726525678180565,67.97048438190598,155.39974009615858,108.37987844109855,28.458337748095513,39.31977415462906,0.88
6.266641429541781,23.433359576775064,65.0732050261787,133.52396379737354,106.97020783698923,28.71496385314531,35.534827647231566,0.88
6.146597208701153,23.564221893134114,58.249045355983895,145.75662310063626,98.37606818777003,29.29118985637299,33.39965802339054,0.88
6.256796553448658,23.172964652449824,60.017967795466475,142.50475910141785,112.95088037324903,29.321159782466367,37.15306478982242,0.88
6.224807916160459,22.524965356869217,61.84903243625683,173.97017013365715,105.79407903841603,28.27165267667734,40.19251351856879,0.88
6.284340786497152,22.6017733149771,56.111857313731406,152.52349549303375,100.71074062861494,33.248101048879654,36.739302440459106,0.88
5.8598203896430325,23.112390258209203,52.37613393129298,147.19049355260506,103.8696952364137,26.30214916087241,42.31551615611895,0.859
6.329777975477504,23.88072810365072,54.528572163831,157.4073789659071,108.33216137105146,29.23756628062778,41.925918997232465,0.876
5.975275785530845,25.406128770329598,58.64200286400346,158.99067512641025,94.87591383351989,24.278941250919797,44.065474586901345,0.88
6.110865026549873,24.587945823592957,62.82934386051736,148.74050212799793,113.18310194959614,27.0533647013924,30.877047569746118,0.88
6.029513986207244,24.385834210091186,63.38428187226878,131.19530099717474,100.65394488355079,25.673114603191014,36.5381216235431,0.88
5.943612961709768,23.560140224316363,59.449863301591655,159.25839911714303,109.85472786594147,27.416758167644737,36.431840816517074,0.88
6.170988646805867,23.428397424781096,57.986087712413955,138.7173454928914,101.19112101617127,23.346104800830915,38.6482382362515,0.88
6.259457351067557,22.88903118944123,62.087950489256116,147.36077045680398,107.04905211322082,27.948244927585648,32.18560288027348,0.88
5.960641605171426,24.02059650290948,65.60073321910929,123.42975154748396,107.07435947880948,32.75848802115057,37.38789649517515,0.88
6.232530374403966,23.507851643371538,61.58221830253093,130.54903778030217,90.93394014948676,31.7710632049011,34.06002028910223,0.88
6.081670823249485,23.029490422710865,57.065106039206434,147.9139475988646,100.62253683518612,29.511883991978795,39.810153675918365,0.88
6.198127446948692,24.16702055364991,67.5221887172616,137.18887477146137,104.67039080278249,32.53075928207836,43.05815923735214,0.88
5.936735452598314,23.78135119084089,66.75342383553541,156.0969492623888,106.17157818887864,27.129261226261374,36.464796297169016,0.88
5.883452004101089,24.226808766932987,59.339334689833834,156.928830930231,105.27934483996717,31.047419096169854,42.702026306035116,0.88
6.178863167665227,24.792436601889925,53.79495737173963,169.08542757499228,107.25037291135403,32.31137342298073,33.12049702063391,0.87
6.0253845177592,24.10215680590134,61.94036738731888,153.39682305611987,111.50709096557979,20.939118738788604,41.89527628686923,0.88
6.151242286493689,23.857352697212818,56.85109667965288,156.03658402052238,90.51535289381377,30.59357604495485,32.03157665810803,0.88
6.158018686892621,23.916581813870454,66.09338351552859,147.8561379718333,100.835168633126,25.973589216115187,43.09153107501865,0.88
6.230444545377134,23.730059012933786,61.172437530124206,131.19387491297465,107.33084520510924,20.960737169218138,41.007185863341824,0.88
6.16929323887369,25.670866259701747,58.14952556196493,148.7680549075124,115.78972620553837,32.765558561165655,35.2151517936804,0.88
6.1835951142560175,24.00139954949056,62.98684553587955,141.61583476818205,104.46407758379559,21.607790498893145,38.54049380747233,0.88
6.217503101013275,23.84080641114928,56.347321882953246,161.86238235421754,107.18715022795682,25.095939609196094,36.87759821264775,0.88
5.924899589582725,23.282212910555465,60.11766028775001,164.7410497473618,101.16297965467514,30.560854637315035,35.84673518855368,0.88
6.187192134127781,23.901023148499338,65.0556981003246,143.5822639413773,95.56483049998536,22.47220387454547,35.87249002422897,0.88
5.962641004398292,24.287148410975686,60.369811422996726,178.4952786003172,94.5737124291772,28.814532714839206,33.48818790597733,0.88
6.075989798942598,24.09899363133838,53.86120018794,152.84191340145634,116.417444773645,26.186246806525627,39.039231427222035,0.871
6.3037382539688105,23.8852325499811,59.96663934013981,122.69116315533897,108.84594431636984,27.547326361084412,33.94926459444736,0.88
6.168989506541655,23.591423750235673,60.15050854109566,157.2754938733045,96.96970553205693,32.18926114429503,32.40925534752638,0.88
6.050594788746711,25.346062335846604,65.94574166574847,151.1712479099453,99.3568187069927,25.88291077320043,38.29310125834279,0.88
6.15562848485094,23.936390349261828,61.89208620070536,147.42749868353863,96.34812758615992,25.93395703135667,41.65849621594739,0.88
5.944749855367332,23.867311141922507,59.13086124930204,151.33620515277732,102.6682009135991,33.909574659898674,40.02633261676102,0.88
5.953229525133419,24.46985960812959,59.28871850308278,143.0760435434696,106.88291412064274,26.033010321079463,41.57142326529182,0.88
6.033823490772991,23.566737413186047,59.70270187258162,143.21233501973953,111.59514933328688,30.515185174441214,44.83977581604829,0.88
6.4901466305848885,23.278498077647363,62.24646694564551,135.8855962002788,100.3343644335104,25.479669958977322,33.771380503446906,0.88
6.160802646287558,23.093261170873774,67.97132115344674,163.434008169635,106.78149522441667,22.612789804881736,38.84266751089848,0.88
5.981785343097412,25.023648684431354,64.83218156148611,151.14526846185282,90.38174602051606,24.06633608536388,40.75104452639949,0.88
6.331932553758474,24.77641886804449,56.4279544921549,153.61862768175484,111.09309129889758,21.36665773767102,37.96838193850706,0.88
6.191076359746269,23.789464790607287,55.51743350609579,146.09162267911526,103.03616741846986,27.407710381808982,35.74611429829972,0.88
6.08354817701378,23.972205602357114,63.54859111739399,146.34687884572,102.54210642979199,28.36941615301783,30.316336296419273,0.88
6.221555269083969,23.99960583201393,62.13892734309147,161.52881169113357,93.28310681971051,20.104664520564146,39.095215381294075,0.88
6.148932471730723,24.119123860234353,60.382555236896444,157.97224409087917,110.59583305794672,29.93592917580611,36.956686166381665,0.88
5.83384659185784,24.53846534562599,66.27605033176158,157.73470094380775,99.72214543579496,30.695177574671032,41.44211883184578,0.88
6.383822437169863,23.38672305304043,61.20740895409551,158.96726461372145,105.34446042862895,23.5306895917949,39.65846514010681,0.88
6.236799245072276,24.0615740274317,62.7685472451298,146.89552917977124,113.86967361429636,24.397231265149294,35.65071694894488,0.88
6.151647827029129,24.615267819390624,56.75919390466912,134.27643900281473,92.7736289535917,28.130780901013082,33.526776731173825,0.88
6.092317483497313,24.462964732924195,59.754600477260034,152.77538427292038,103.20397255348966,30.688457260385746,39.90051226939204,0.88
6.046209945573809,23.88194377261968,65.65310189202174,154.72052244304916,96.61822765349321,30.622472244685532,33.66155751025505,0.88
6.361876960494151,24.71686918788872,63.0145991657144,151.88679412123432,103.74580646383548,30.714095805600113,36.51688732215175,0.88
6.185335480595985,24.610354056563615,60.03367709766044,142.60568712011167,97.83380711565324,23.74210901549531,30.68641875423399,0.88
6.259474318352329,25.266240179457938,66.98865130214607,130.4869861364818,109.3491280293372,33.688425399694225,36.172760077045346,0.88
6.165217114597508,22.59447486443673,62.933576587918246,137.2372832467834,106.19781010746908,21.755188311244478,40.171432897910385,0.88
6.303676901314004,23.451774096799383,58.02077096506348,124.12772348940022,103.40151879554894,25.67362426287358,31.795922350607782,0.88
6.217952813446826,23.685020732694746,58.23492414474168,143.34513113231463,111.42782723357769,30.41174777502089,37.47989575400604,0.88
6.242865752769728,23.18736163052928,62.113295352544604,151.76786796583764,102.18098094900763,29.741833343829672,34.8782661814222,0.88
6.102406991212134,22.97366981227132,58.17192028399165,162.32286895584744,93.47097281670817,32.515964403848066,37.779591603830845,0.88
5.971140700433636,23.591819449388115,58.43971480614425,160.39470241030233,109.39456685857704,21.123355464495813,36.38563152592266,0.88
6.020522150648358,24.90545697792156,57.27465308655753,169.25074925622016,104.80023156289838,23.35226237447965,35.29090326396289,0.88
6.029757173884732,23.107767118589145,62.33189400905631,135.2650133916979,91.91780274757087,26.48129411660731,30.788575214328468,0.88
6.0371758697898725,23.36362797797765,58.95074374790965,174.01155721908185,105.33846940301743,28.981484035981328,30.89440681463082,0.88
6.051905529954462,24.150711840959058,58.414148804804476,160.89675412221584,97.78382048459382,26.8545354565393,35.65579344009777,0.88
6.174648098907288,23.5516569497012,61.05187230525172,147.16643889866418,100.5936734556522,29.94037547398845,38.9535534993497,0.88
6.136707908212025,23.69867916657663,64.78790410682,147.16998907422982,103.15981627304437,28.418760119552505,44.786346731883405,0.88
5.94894656879682,24.53889982513875,55.37390093566663,152.6072778987435,114.45049696565238,29.95467409786923,38.68250031415917,0.88
6.065932579679539,24.02173304034199,61.11778014608825,140.56828070482374,103.26074630715078,28.79352464250576,34.931131725877435,0.88
6.029057726897298,23.047829593685478,63.367537591311134,156.54387914360473,106.3899626654191,31.860681970914662,38.35147054832291,0.88
6.208801640604864,24.212686197946294,61.67960993203627,143.63013806244425,118.28491569475146,26.192196080585965,35.33648915551825,0.88
6.2151014735175165,24.176298090706503,57.08322958336385,163.47213905476485,104.434832547895,23.556275619137118,42.755136457415496,0.88
6.243851335739423,23.11482060563646,68.22013994090203,157.9055684203943,104.93882330624972,34.36087522248712,38.63719113531856,0.88
6.145787538734395,23.537789918784608,64.03647653757477,155.71923560788775,105.08808083933826,24.84005458452959,38.519719416664294,0.88
6.13953018213568,23.06656797688606,56.84865677036535,156.78184054571724,89.38867010968987,28.82164210784504,36.0876677689847,0.87
6.3462369910319865,23.65457225359229,64.30819474988164,145.2370339051465,105.68248892091687,30.947346123680205,36.14977713470168,0.88
6.299483232674761,23.30441148602546,63.03107494895433,161.07167667345422,108.960224950742,35.66577950694164,34.946242730757355,0.873
5.943127612297713,23.303965424053416,64.31154898291953,155.97507521123254,105.6135399578845,23.50817180357148,41.06746917331624,0.88
5.966294283352419,24.81126470766383,72.00103448098953,154.39741375885862,108.49864881394646,26.02856092441776,30.759146715652733,0.864
6.059592095545467,23.234973331230876,56.935483982547446,170.66831930394778,106.63717510815464,29.518750322455936,36.763910539215004,0.88
6.124069337633485,24.675185477567535,61.88682008456674,156.3683272562968,103.82397421292991,26.631388437071813,32.372343337592554,0.88
5.853337640644932,23.81690666925352,62.19773842197631,134.5664395594945,104.79315080979221,28.21501025196201,29.375967975762485,0.868
6.012731301078075,24.285084725614826,63.3547055528851,136.15590100320287,105.95068830299842,32.08962890144189,41.10829183596359,0.88
6.13570713194791,23.672416580672994,59.79729430482924,155.6138373949159,106.17062383885732,30.517616024408802,38.527495252484606,0.88
6.272814592552117,24.06621477307039,64.7464105064609,160.44987324439967,100.17284021865112,20.767423812517016,44.173971424058216,0.88
6.188498809606839,22.799859873152716,59.50163175973451,159.26249150843793,103.32193901320264,25.95175432272349,43.60352744125187,0.88
5.992906928042429,23.441292649571615,62.73985266266894,154.6854591846466,107.9780582060444,31.644952178275787,38.794314482726065,0.88
6.223407590840762,23.81855351847944,62.2194440613285,151.2904101606436,106.29058881491422,31.090159230331043,40.22058272777932,0.88
6.156632550435027,23.433611810541272,62.23684940321948,149.66378658125106,106.1590894788792,36.82610122856161,35.904908885835056,0.862
6.2133433528688045,24.74792344707101,62.34300669934784,178.05414143006598,102.73176424961115,29.296356889280187,34.80477702042807,0.88
6.097271289728506,24.17425373727766,64.96206421807706,153.82913800828288,112.55468909600842,27.620138757629313,36.67132588064398,0.88
6.555597766091909,24.275966354609423,59.481814589075086,141.66883485302318,99.34392051281196,31.746277423427152,36.542490828427034,0.867
6.169104371348473,23.955543927893213,64.56022342779328,139.83907088539175,98.54656628314191,28.897189228726376,40.40383713879959,0.88
6.199879846964646,23.43338238963187,64.37119694731987,141.0736688748524,101.8707681312817,24.22418590111199,43.20463339460812,0.88
6.245013231154103,24.42349536297521,66.36523997399857,183.75179097886468,94.74464337653907,25.04649367649157,35.535299663301906,0.867
6.022377056642596,23.2456917266774,60.95121427580622,135.40075541652715,107.01025420522448,28.206793285714458,39.924114659054624,0.88
6.2261592677457385,24.422104797398674,60.69306872111641,175.45372083160402,106.40658669889258,20.55006098950082,33.99049701693513,0.88
5.888924551645828,24.012134240405913,61.57368171581333,144.3788916252065,117.06555667440308,30.195931496307644,40.90439344578534,0.88
6.010338976808685,23.300598576068293,62.12881924683934,152.0760856758267,93.86213059731325,27.278771908601865,38.05628833149402,0.88
6.117727625134331,23.430626711357327,60.11162686327601,147.87768967712645,105.54480014166029,30.419166330202273,42.323424819803485,0.88
6.105847841470913,23.68069066271925,63.53179485737007,157.33013899693026,102.39479740044669,31.16157390786469,41.91834136462389,0.88
6.3437529698488015,25.244824634703875,58.96754351469196,150.16677851199015,105.06766617971196,27.60770572586997,35.40294832155946,0.88
5.9271656995153394,24.064875612220302,59.31075519158231,151.0319217689715,100.23573874980688,23.601366616622634,38.93719344150759,0.88
6.172638229020975,24.405497379924654,69.65052318246168,153.32747437453017,107.91049060238478,23.689754684530698,32.8523702378545,0.88
6.387424417016001,23.353564154046687,58.34619574985975,149.53081294540135,104.45884551973568,24.389973974226834,36.7801071251476,0.88
6.334406357647516,23.435804473817743,57.1221463047184,161.3111234507975,107.95378147162822,25.517925517405352,31.67133193549233,0.88
6.032283112926602,24.096743590547295,61.31757039858075,155.73132875708126,109.73619933401824,30.433806945718715,37.14290022978214,0.88
5.873049448331928,23.68116312580163,63.457288518486344,136.91463296939426,108.78764838072945,31.633573189069217,38.50746790518337,0.88
5.690433020053141,23.105338146101737,68.60166205494629,143.44154648365947,93.09514066122603,32.94098955324109,38.05342236617469,0.854
6.315741073343659,24.193871072653554,63.60495697674259,154.35611097257419,109.184929871526,37.10972179422439,41.884025343836754,0.859
5.91294910232317,24.312663060695233,65.99518268836127,164.43240967843374,102.4403701016454,32.65977778075251,41.71096959820482,0.88
6.08479507894153,24.258550641789935,60.273723540729314,173.22457420234932,105.08025487629517,33.164116220736545,39.045681650919875,0.88
6.273961096483989,24.195469087753494,66.79074621166247,150.6712722015888,107.97672424853272,29.465331734600174,36.84685816749072,0.88
6.210747347838702,25.564070372338378,61.05361070266595,155.03357871423898,112.54667370521666,32.56101312377712,38.04686567087746,0.88
5.7924916945563965,24.361691973053926,54.23184009481932,167.63924677129478,106.01684322715957,31.998696079487956,34.39155544727579,0.872
6.307424790879498,24.59075582408735,67.17811750348268,147.71913992519106,92.67143215394825,27.24565546797596,41.246942839986005,0.88
6.0045299407327395,23.87654383465747,59.578805899491904,168.02435102211757,109.49674209243938,30.606162482575836,40.486405252483884,0.88
6.144412612117181,24.138289397769253,57.851853968136886,123.76269625499319,105.90048678207015,29.295961025088577,42.83705827370151,0.88
6.317909574299757,23.728548431115495,58.908801290957065,159.46689460059886,98.39603241459383,27.04625459607879,37.54088820399231,0.88
6.388936813368422,23.751711887928227,53.46262626499585,156.0533357719496,100.80586888137644,28.170524097750988,37.65318119663151,0.868
6.108944400627335,24.553238407249292,56.634972925765524,143.79582930054767,109.10422747870429,25.543660898622527,31.564773162920112,0.88
6.250283301488511,24.786166241309076,61.84251677324948,126.46985281836561,109.2358184801929,21.36044847432125,39.235197107392665,0.88
6.016880426288677,23.188112499963125,60.453314940221084,147.80042932287287,101.13475049768131,30.354813112860604,36.215722486164665,0.88
6.2970286307507735,24.196821215950436,59.55854977691292,139.60872139401258,95.11502220571536,29.16293271146729,36.58164981099457,0.88
5.794170670790473,23.62499958906142,58.846380897607666,168.90813110604793,94.78332832864014,22.234596801063784,42.4398785724228,0.879
6.353514473619595,23.47851194289205,59.78769962016881,157.39482475863974,91.03740121832814,20.555225261977775,36.87706639659715,0.88
6.3824835849193695,23.69498893828328,62.35327877107304,163.60547127076813,117.64130839966887,25.69260610740675,37.932653105066294,0.88
6.423308283201426,22.934460507366,65.59653374693838,137.7802136116649,105.61483420261894,27.029523810398903,34.16795359719508,0.88
6.0025347108512594,24.193490054977627,65.48438764856938,148.44316556173797,105.4206789523993,30.28469626516419,34.11352490794816,0.88
6.260953876261939,24.57354016794182,71.11269204562643,145.486749713285,102.25150918999124,31.07586348629498,41.276416675648555,0.871
6.069736926993493,23.717786126148965,63.89395793376314,140.06898911118407,102.5367960719099,28.358371069473737,41.98375473928903,0.88
6.059310207573069,22.71033087657853,55.29190886368626,134.8870431995264,97.12099369080038,27.381556965520364,33.24447938560958,0.88
6.04458675602682,23.458139880512565,60.458222487032025,165.87005197827747,108.9716855365831,28.064517661104016,36.155894877676644,0.88
6.0850151015065475,24.229422528966364,64.04459175673301,139.1085899267928,105.21888453368538,19.873521725347892,38.846855136682386,0.877
6.264322386293803,23.803951961183387,68.35784448649036,139.4251386307674,106.30464249181956,27.856701013336178,37.598809330226366,0.88
6.132851674799288,24.07497352100663,64.96785560212295,166.53283483529694,104.98649853297506,31.261264288686533,35.19293221493287,0.88
6.264893317908935,23.466605933321105,65.81730977630846,176.52769052871886,104.26749667217165,19.229826036770366,35.80770826702071,0.865
6.334781270143396,24.387153750917673,62.8711975953626,162.10402027145807,107.90672063549053,32.87090074980455,41.67769470658794,0.88
6.378255067910544,24.251157258734377,65.16840790522885,146.31447512297058,101.39123513064597,34.827070561675896,38.86481870529075,0.88
6.2707320848793575,24.086618010087975,59.94719522178013,150.13179471098883,113.61596410660628,30.220960297117696,31.154107361078164,0.88
6.117713331513577,25.2476056548933,61.25171098352516,128.39425569918984,116.35829331253527,30.729570039251172,37.7199485647488,0.88
6.09428733958769,24.757646350854216,60.103058099208326,163.77907709419185,108.25317171434554,28.9787277019494,38.582059221342384,0.88
6.123754794492874,24.731948084146484,58.971300087643584,130.5368984780375,108.68664073735485,30.52495331226859,39.920964610047065,0.88
6.211159255442706,23.775621735163718,64.75618946534934,149.45330247894552,102.07731863510894,26.752434750978402,46.082558795103324,0.873
5.8897535876931855,24.34985167300706,56.123113503316986,148.70119994012433,102.39823508907487,19.659886813280487,39.55615036173505,0.873
6.092994290671171,22.53055556020713,64.93848831770988,167.2200741358672,113.94074605377943,29.435825762605884,38.184232554308466,0.88
6.34922349313437,25.17766850973807,65.96749046006468,138.7015487732424,106.20806911928953,29.758064577165715,30.761532124331083,0.88
6.220404098943116,25.591094278185572,64.23977658030277,167.68095697730107,106.09748838077223,27.707126704064713,39.5250855603239,0.88
6.027626002802336,23.32535736893593,66.43206595009278,166.4681081143982,99.0533621064759,31.871995218215456,37.652160097575916,0.88
6.200971286173565,24.322153047604544,65.48022663843511,150.99261842235828,113.46097197181162,29.2376513590397,40.49673708987813,0.88
6.025010611269414,25.511061307493385,63.64438723121738,158.55596910414118,95.35088513273075,24.709191907683596,42.95153475167492,0.88
6.193033667743891,22.660354185619752,65.63401475144337,143.47460634776732,113.46790191526027,27.6486572855852,38.818826744082116,0.88
6.326843186788747,23.371754920401738,58.52503617258121,147.6420189552227,109.96303679772733,22.67649098954604,31.32786160044361,0.88
6.273558139056569,23.577915181203096,60.62720895477901,127.71827517671801,100.92612411388811,27.969730813475397,41.72151143049157,0.88
6.034315475064805,25.16016328416275,59.6040539153707,141.8028983809779,114.22414531138682,28.845840609455667,35.7919010839537,0.88
6.1267300303229115,24.947151504279443,67.13170986868988,140.19848184875693,104.74539713952535,28.360627310670292,34.05503955793361,0.88
6.1416472421025015,24.003726002316192,65.99073317627858,164.48910033973442,103.02474360984596,27.144187424556755,40.65716920822254,0.88
6.062221732660949,24.412048106216183,61.69232729420775,138.36721706713655,99.25897972272212,33.788234784124406,37.3743140834268,0.88
6.396053114084747,23.640454617499564,63.01921820396023,178.7121206762189,98.65567953202033,20.408742000400892,43.146360525148935,0.88
6.0259786341910395,23.985505545125637,59.94928626341945,153.2179533714638,99.29678275688555,27.280239648466775,39.799261306226136,0.88
